step,n_episodes,wipe_rate,corner_rate,concede_rate,avg_duration,avg_alliances,avg_reward
5000,875,0.024,0.0,0.976,5.71,0.07,-3.3684
10000,424,0.0259,0.0024,0.9717,11.79,0.16,-2.457
15000,184,0.0326,0.0163,0.9511,25.98,0.26,-1.6293
20000,104,0.1058,0.0673,0.8269,39.47,0.53,0.7702
25000,66,0.0455,0.1364,0.8182,59.26,0.52,-0.1788
30000,45,0.1333,0.1778,0.6889,53.11,0.29,1.1178
35000,27,0.037,0.2593,0.7037,87.3,0.59,1.0796
40000,21,0.2381,0.2857,0.4762,53.24,0.67,3.5119
45000,17,0.0588,0.3529,0.5882,88.12,0.47,0.3088
50000,18,0.1667,0.2222,0.6111,85.39,0.5,2.8667
55000,19,0.0526,0.1579,0.7895,72.95,0.53,-0.3553
60000,18,0.0,0.3889,0.6111,77.5,0.33,-0.9333
65000,16,0.1875,0.3125,0.5,96.88,0.56,3.0375
70000,20,0.3,0.35,0.35,87.6,0.5,5.93
75000,9,0.0,0.2222,0.7778,95.11,0.44,-0.1611
80000,10,0.5,0.3,0.2,65.2,0.5,9.71
85000,10,0.3,0.6,0.1,59.4,0.5,5.03
90000,2,0.0,1.0,0.0,183.5,2.0,10.625
95000,7,0.1429,0.1429,0.7143,65.43,0.57,1.5714
100000,13,0.1538,0.5385,0.3077,81.92,0.62,3.0462
105000,7,0.7143,0.0,0.2857,74.57,0.43,16.0071
110000,7,0.4286,0.2857,0.2857,61.43,0.29,6.3929
115000,12,0.25,0.3333,0.4167,78.83,0.42,4.5542
120000,11,0.1818,0.3636,0.4545,92.36,0.64,3.6682
125000,8,0.125,0.5,0.375,84.75,0.62,2.2625
130000,6,0.5,0.3333,0.1667,85.33,0.17,8.7083
135000,13,0.2308,0.5385,0.2308,71.62,0.38,5.0192
140000,7,0.2857,0.5714,0.1429,119.14,1.14,9.4071
145000,8,0.5,0.375,0.125,55.25,0.38,9.4188
150000,8,0.625,0.375,0.0,64.0,0.5,13.5438
155000,6,0.5,0.3333,0.1667,71.83,0.33,9.6167
160000,13,0.3077,0.6154,0.0769,70.46,0.85,7.2808
165000,11,0.6364,0.1818,0.1818,37.73,0.27,12.0182
170000,2,0.5,0.0,0.5,80.5,0.5,9.8
175000,10,0.5,0.3,0.2,86.3,0.7,10.48
180000,4,0.0,0.75,0.25,118.25,0.25,-1.275
185000,7,0.8571,0.1429,0.0,70.57,0.14,17.9571
190000,10,0.4,0.5,0.1,88.8,0.6,7.545
195000,11,0.5455,0.1818,0.2727,68.18,1.0,12.2273
200000,9,0.4444,0.4444,0.1111,106.22,0.67,10.3667
205000,8,0.5,0.5,0.0,98.0,0.62,12.5375
210000,5,0.6,0.4,0.0,81.8,0.2,13.33
215000,4,0.75,0.25,0.0,79.0,0.5,15.9875
220000,3,0.6667,0.3333,0.0,76.0,0.0,12.7333
225000,4,0.5,0.5,0.0,123.25,0.75,14.0
230000,10,0.8,0.2,0.0,40.0,0.0,15.14
235000,1,0.0,1.0,0.0,190.0,0.0,-2.0
240000,6,0.5,0.5,0.0,84.67,0.67,10.85
245000,6,0.3333,0.3333,0.3333,77.67,0.17,5.2167
250000,2,0.5,0.5,0.0,146.0,0.0,10.275
255000,8,0.625,0.125,0.25,97.75,0.38,12.1813
260000,2,0.5,0.5,0.0,93.5,0.0,8.975
265000,3,0.6667,0.0,0.3333,61.33,1.0,13.6333
270000,7,0.5714,0.1429,0.2857,32.86,0.71,10.1071
275000,7,1.0,0.0,0.0,52.43,0.0,19.85
280000,6,0.6667,0.1667,0.1667,58.67,0.83,17.4
285000,2,0.0,0.5,0.5,54.0,0.5,-0.55
290000,8,0.625,0.25,0.125,81.25,0.0,11.0562
295000,4,0.75,0.25,0.0,72.75,0.25,16.3375
300000,8,1.0,0.0,0.0,49.0,0.0,19.9375
305000,2,1.0,0.0,0.0,29.0,0.0,19.475
310000,2,1.0,0.0,0.0,37.0,0.0,19.5
315000,11,0.4545,0.0,0.5455,70.91,0.36,9.05
320000,6,0.6667,0.1667,0.1667,55.17,0.0,12.825
325000,8,0.5,0.375,0.125,80.0,0.5,11.5
330000,8,0.75,0.25,0.0,67.12,0.5,18.0438
335000,6,0.8333,0.0,0.1667,72.83,0.33,18.25
340000,3,1.0,0.0,0.0,21.33,0.0,19.5
345000,5,0.6,0.0,0.4,91.6,1.0,15.67
350000,9,0.6667,0.0,0.3333,63.67,0.22,12.7389
355000,5,0.4,0.0,0.6,77.0,0.4,7.89
360000,11,0.3636,0.0909,0.5455,58.36,0.82,9.0136
365000,3,0.3333,0.3333,0.3333,68.33,0.33,4.7
370000,6,0.6667,0.1667,0.1667,65.0,0.33,13.0667
375000,3,0.3333,0.0,0.6667,47.0,0.0,2.5
380000,4,0.75,0.0,0.25,71.0,0.0,12.125
385000,4,1.0,0.0,0.0,33.25,0.0,19.7875
390000,6,0.3333,0.5,0.1667,72.5,1.0,7.3083
395000,3,1.0,0.0,0.0,57.67,0.0,20.8333
