steps,n_episodes,wipe_rate,corner_rate,concede_rate,avg_duration,avg_alliances,avg_id_round,pair_survival,group_survival,loner_survival
5167,400,1.0,0.0,0.0,4.34,0.0,-1,0.0,0,0.0
10205,380,1.0,0.0,0.0,4.56,0.0,-1,0.0,0,0.0
15269,380,1.0,0.0,0.0,4.61,0.0,-1,0.0,0,0.0
20343,400,1.0,0.0,0.0,4.34,0.0,-1,0.0,0,0.0
25427,400,1.0,0.0,0.0,4.32,0.0,-1,0.0,0,0.0
30588,400,1.0,0.0,0.0,4.39,0.0,-1,0.0,0,0.0
35816,420,1.0,0.0,0.0,4.24,0.0,-1,0.0,0,0.0
40935,400,1.0,0.0,0.0,4.38,0.0,-1,0.0,0,0.0
46026,380,1.0,0.0,0.0,4.48,0.0,-1,0.0,0,0.0
51235,400,1.0,0.0,0.0,4.49,0.0,-1,0.0,0,0.0
56350,400,1.0,0.0,0.0,4.32,0.0,-1,0.0,0,0.0
61400,380,1.0,0.0,0.0,4.53,0.0,-1,0.0,0,0.0
66569,400,1.0,0.0,0.0,4.34,0.0,-1,0.0,0,0.0
71739,400,1.0,0.0,0.0,4.5,0.0,-1,0.0,0,0.0
77009,400,1.0,0.0,0.0,4.44,0.0,-1,0.0,0,0.0
82165,380,1.0,0.0,0.0,4.57,0.0,-1,0.0,0,0.0
87176,380,1.0,0.0,0.0,4.45,0.0,-1,0.0,0,0.0
92232,360,1.0,0.0,0.0,4.75,0.0,-1,0.0,0,0.0
97301,400,1.0,0.0,0.0,4.22,0.0,-1,0.0,0,0.0
102382,380,1.0,0.0,0.0,4.64,0.0,-1,0.0,0,0.0
107514,380,1.0,0.0,0.0,4.55,0.0,-1,0.0,0,0.0
112673,400,1.0,0.0,0.0,4.39,0.0,-1,0.0,0,0.0
117679,380,1.0,0.0,0.0,4.47,0.0,-1,0.0,0,0.0
122874,400,1.0,0.0,0.0,4.51,0.0,-1,0.0,0,0.0
127989,380,1.0,0.0,0.0,4.58,0.0,-1,0.0,0,0.0
133191,400,1.0,0.0,0.0,4.36,0.0,-1,0.0,0,0.0
138410,400,1.0,0.0,0.0,4.46,0.0,-1,0.0,0,0.0
143602,400,1.0,0.0,0.0,4.38,0.0,-1,0.0,0,0.0
148619,380,1.0,0.0,0.0,4.51,0.0,-1,0.0,0,0.0
